"BO","Tabela","Faltando","Colunas","LinhaAprox"
"SigPrGmiBO.prg","SIGMVITN","AQTDS, CODBARRAS, CUNIS, DESCVALS, ETIESPS, FATORS, FATVALS, FVALS, ICONFS, LOCALS, MOEFATS, MOEVALS, NOTAS, NRCONS, NTRANS, NUMOLDS, PESOS, QTBAIXAS, QTBXPRODS, QTPRODS, TPESOS, UNITEMBS, UNIVALS, VCOMS, ALIQS, SITRIBS, TPIPIS, VALIPIS, ALIQICMS, VALDESCS, EMPOS, MOEVS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","14","375"
"SigPrGstBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, DESC2S, DESCS, DEVOLS, EMPDS, GRRESPS, GRUPOS, GRVENDS, ICLIS, IFORS, LOCALS, LOTECHQS, LPRECOS, NCARNECS, NEMPS, NOPS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, RESPS, TABDS, TPFATS, TRANSPS, USUALS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALINIS, VALOS, VALSERVS, VALVARS, VARS, VENDS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","14","148"
"SigPrGstBO.prg","SIGMVITN","AQTDS, CODBARRAS, CUNIS, DESCVALS, ETIESPS, FATORS, FATVALS, FVALS, ICONFS, LOCALS, MOEFATS, MOEVALS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, PESOS, QTBAIXAS, QTBXPRODS, QTPRODS, TPESOS, UNITEMBS, UNIVALS, VCOMS, ALIQS, SITRIBS, TPIPIS, VALIPIS, ALIQICMS, VALDESCS, EMPOS, MOEVS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","13","237"
"SigPrGstBO.prg","SIGMVITS","CODTAMS, CODCORS, AQTDS, AQTDEMBS, QTBAIXAS, PREMBS, CODEMBENTS, QTDENTS, CODBARRAS, PESOS, QTBXPRODS, QTPRODS, LOCALS, NTRANS, QTRESERVAS, CHKSUBN, COMPRIS","11","269"
"SIGPRIBLBO.prg","SIGCNFBL","CEMPS, CHORAS, CUSUARIOS, NTXTLINS, NTXTCOLS","34","158"
"sigprilaBO.prg","SIGCDLPC","FPAGS, CONTAS, FLAGS, APLICTABDS, DESCOS, TABDS","9","432"
"sigprilaBO.prg","SIGCDLPI","COMISS, FLAGUTABS, ORDEMS, CCONTROLES","13","465"
"sigprilaBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, DESC2S, DESCS, DEVOLS, GRRESPS, GRUPOS, GRVENDS, ICLIS, IFORS, LOCALS, LOTECHQS, LPRECOS, NCARNECS, NEMPS, NOPS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, RESPS, TABDS, TPFATS, TRANSPS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALINIS, VALOS, VALSERVS, VALVARS, VARS, VENDS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","17","832"
"sigprilaBO.prg","SIGMVITN","DESCVALS, ETIESPS, FATORS, FATVALS, FVALS, ICONFS, LOCALS, MOEFATS, MOEVALS, NOTAS, NRCONS, NTRANS, NUMOLDS, QTBAIXAS, QTBXPRODS, QTPRODS, TPESOS, UNITEMBS, UNIVALS, VCOMS, ALIQS, SITRIBS, TPIPIS, VALIPIS, ALIQICMS, VALDESCS, EMPOS, MOEVS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","18","857"
"sigprilaBO.prg","SIGMVITS","CODEMBS, QTDEMBS, AQTDEMBS, QTBAIXAS, PREMBS, CODEMBENTS, QTDENTS, QTBXPRODS, QTPRODS, LOCALS, NTRANS, QTRESERVAS, COMPRIS","14","884"
"sigprilaBO.prg","SIGMVHST","SQTDS, TEQTDS, TSQTDS, MOEDAS, NUMOLDS, NTRANS, LOCALS, UNITMEDS, MOEDMEDS, RECALMEDS, AUDITORS, SPESOS, UNITMFIS, BCIPIS, MEDIPIS","24","905"
"sigprilaBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, DESC2S, DESCS, DEVOLS, GRRESPS, GRUPOS, GRVENDS, ICLIS, IFORS, LOCALS, LOTECHQS, LPRECOS, NCARNECS, NEMPS, NOPS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, RESPS, TABDS, TPFATS, TRANSPS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALINIS, VALOS, VALSERVS, VALVARS, VARS, VENDS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","19","1233"
"sigprilaBO.prg","SIGMVITN","DESCVALS, ETIESPS, FATORS, FATVALS, FVALS, ICONFS, LOCALS, MOEFATS, MOEVALS, NOTAS, NRCONS, NTRANS, NUMOLDS, QTBAIXAS, QTBXPRODS, QTPRODS, TPESOS, UNITEMBS, UNIVALS, VCOMS, ALIQS, SITRIBS, TPIPIS, VALIPIS, ALIQICMS, VALDESCS, EMPOS, MOEVS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","18","1259"
"sigprilaBO.prg","SIGMVITS","CODEMBS, QTDEMBS, AQTDEMBS, QTBAIXAS, PREMBS, CODEMBENTS, QTDENTS, QTBXPRODS, QTPRODS, LOCALS, NTRANS, QTRESERVAS, COMPRIS","14","1285"
"sigprilaBO.prg","SIGMVHST","SQTDS, TEQTDS, TSQTDS, MOEDAS, NUMOLDS, NTRANS, LOCALS, UNITMEDS, MOEDMEDS, RECALMEDS, AUDITORS, SPESOS, UNITMFIS, BCIPIS, MEDIPIS","24","1306"
"sigprilaBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, DESC2S, DESCS, DEVOLS, GRRESPS, GRUPOS, GRVENDS, ICLIS, IFORS, LOCALS, LOTECHQS, LPRECOS, NCARNECS, NEMPS, NOPS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, RESPS, TABDS, TPFATS, TRANSPS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALINIS, VALOS, VALSERVS, VALVARS, VARS, VENDS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","19","1612"
"sigprilaBO.prg","SIGMVITN","DESCVALS, ETIESPS, FATORS, FATVALS, FVALS, ICONFS, LOCALS, MOEFATS, MOEVALS, NOTAS, NRCONS, NTRANS, NUMOLDS, QTBAIXAS, QTBXPRODS, QTPRODS, TPESOS, UNITEMBS, UNIVALS, VCOMS, ALIQS, SITRIBS, TPIPIS, VALIPIS, ALIQICMS, VALDESCS, EMPOS, MOEVS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","18","1638"
"sigprilaBO.prg","SIGMVITS","CODEMBS, QTDEMBS, AQTDEMBS, QTBAIXAS, PREMBS, CODEMBENTS, QTDENTS, QTBXPRODS, QTPRODS, LOCALS, NTRANS, QTRESERVAS, COMPRIS","14","1660"
"sigprilaBO.prg","SIGMVHST","SQTDS, TEQTDS, TSQTDS, MOEDAS, NUMOLDS, NTRANS, LOCALS, UNITMEDS, MOEDMEDS, RECALMEDS, AUDITORS, SPESOS, UNITMFIS, BCIPIS, MEDIPIS","24","1681"
"sigprimaBO.prg","SIGCDPRC","MATPRINCS, CBARS, CGRUS, CLFISCALS, COLECOES, COMIS, CUNIS, CUSTOFS, CVENS, DPROS, FCUSTOS, FLAGCTABS, FVENDAS, ICMS, IFORS, LINHAS, LOCALS, MARGEMS, MOECS, MOECUSFS, MOEDAS, MOEPCS, MOEPVS, MOEVS, NOTAS, OBSPEDS, OBSPES, ORIGMERCS, PCUSS, PESOMS, PVENS, PVIDEALS, QMINS, REFFS, SITTRICMS, TCOMPS, TIPOS, TRANSPS, VALORS, VARIAS, SITUAS, SGRUS, METALS, TEORS, CFTIOS, CODSERVS, MFTIOS, PFTIOS, CODCPDS, CODCORS, CODTAMS, COMPOS, MONTADESCS, DIGIMAXS, ORDCOMPOS, EAN13, CPROEQS, CHKFUNDS, CASAS, IMPETIQS, QTDCPNTS, CBMS, DPRO2S, ENCOMS, CARACTS, CODACBS, CRAVCERS, CUNIFORS, CUNIPS, CUSTOCVS, IPIS, LTMINS, MARKCVS, MERCS, PESOBS, PESOMTS, PIDEALCVS, QTDIAS, TAMHS, TAMLS, TAMPS, TPTRIBS, VOLUMES, OBSETQS, VULTCOMPS, MULTCOMPS, MARKUPA, RETIRAS, TINSTS, CCLASS, CODCCNJS, CFTIOCS, NIVELQS, PFTIOCS, USUINCS, DIASINAS, IDECPROS, FABRPROPRS, QTMINFABS, MONTAGENS, TENTS, CODFINP, CODMATP, TMONTAS, CONTACCUS, GRUCCUS, CONSIGS, LTMINSV, STATUS, ALIQIPIS, CODCONC, CODGARRAS, DESCECFS, ENCARGOS, IDPRO, NIDENTFIXA, PESOBRIS, PESOMETAL, PESOPDRS, EXTIPI, IATS, CONJUNTS","6","308"
"SIGPRIMPBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, DESC2S, DESCS, DEVOLS, EMPDS, GRUPOS, ICLIS, IFORS, LOCALS, LOTECHQS, NCARNECS, NEMPS, NOPS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, TPFATS, USUALS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALSERVS, VALVARS, VARS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, EMPGOPNUMS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","26","288"
"SIGPRIMPBO.prg","SIGMVITN","AQTDS, DESCVALS, ETIESPS, FATVALS, FVALS, ICONFS, LOCALS, MOEFATS, NOTAS, NRCONS, NTRANS, NUMOLDS, QTBAIXAS, QTBXPRODS, QTPRODS, TPESOS, UNITEMBS, VCOMS, EMPOS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, CHKSUBN, USULIBS, VALRATS, CODLPRECS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, CITEM2, ALIQORIGS, LCANCELAS, COMPRIS, LOCALOS","57","378"
"sigpriteBO.prg","SIGMVITN","AQTDS, CODBARRAS, DESCVALS, ETIESPS, FATORS, FATVALS, FVALS, ICONFS, LOCALS, MOEFATS, MOEVALS, NOTAS, NRCONS, NTRANS, NUMOLDS, PESOS, QTBXPRODS, QTPRODS, TPESOS, UNITEMBS, UNIVALS, VCOMS, ALIQS, SITRIBS, TPIPIS, VALIPIS, ALIQICMS, VALDESCS, EMPOS, MOEVS, UTILIZAS, NCODIGOS, QTRESERVAS, CIDCHAVES, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","16","282"
"SIGPRMEIBO.prg","SIGCDCLI","IDCONTAS, BAIRS, CCARGS, CEPCOBS, CEPS, CEPTRABS, CFOS, CIDAS, CIDCOBS, CIDTRABS, CODTIFS, COLETORS, COMIS, COMPLS, CONCILIAS, CONJUGES, CONTACOBS, CONTAMATS, DDDS, EMAILS, ENDCOBS, ENDES, ENDTRABS, ESTAS, ESTCIVILS, ESTCOBS, ESTTRABS, FAXS, FPUBLS, GRUPOCOBS, GRUPOMATS, GRUPOVENS, LIMCRES, LPRECOS, MAES, NACIONALS, NCLIS, NUMS, PAICOBS, PAIS, PAITRABS, PROFISS, RAMALS, RAZAOS, RCLIS, RGCONJUGES, RGS, SEXOS, TABDS, TEL1S, TEL2S, TPCADS, TRANSPS, VCOLETS, BAICOBS, GERBALS, GRUFALS, PAGFALS, RECFALS, SENHAS, SUFRAMAS, CCONTABS, CODIGOS, CONPRODS, CONTACENTS, CONTATO, CONTATS, GRUPOCENTS, GRUPRODS, HISTS, INTCONTS, MACUMS, MFATS, PRACAS, TPHISTS, VULTCOMPS, BAICOS, CEPCOS, CIDCOS, ENDCOS, ESTCOS, NOMECOS, REGIAOS, COMPLCOS, NUMCOS, SITUAS, TPCPS, CONTAVEN2S, APTOS, USUALTS, VINCULAS, NOMEARTS, CTELEMS, CODSEGS, EAN13ENTS, EAN13COBS, DMCASAS, DMCONJS, DMNASCS, NMUNCIPS, MAXTRANSPS, INSCMUNS, MICROEMPS, OPTSIMPLES, FPAGS, PRAZOENTS, TEL3S, COMCARGS, MASTERS, CPFCS, LIBTABCMVS, RGCS, CONSIGS, BAIRTRABS, CCARTOES, CIDATRABS, CNPJTRABS, COMPLTRABS, EMPTRABS, ESTATRABS, GRAUPARENS, IDCONTA, INATIVAS, NUMTRABS, PATRIETQS, RENDAFAMS, RESTFORS, SALARIOS, TELTRABS, COBS, TABD2S, EMISSORS, CFGFISCOS, CFGFISCSS, CFGFISICS, CFGFISIIS, CFGFISINS, CFGFISIPS, CFGFISIRS, CFGFISISS, CFGFISPIS, PIS, JUROS, CONSIGNAS","9","518"
"SIGPRMEIBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, DESC2S, DESCS, DEVOLS, EMPDS, GRUPOS, ICLIS, IFORS, LOCALS, LOTECHQS, LPRECOS, NCARNECS, NEMPS, NOPS, NRCONS, NTRANS, NUMOLDS, TABDS, TPFATS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALSERVS, VARS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","29","627"
"SIGPRMEIBO.prg","SIGMVITN","AQTDS, CODBARRAS, DESCVALS, ETIESPS, FATORS, FVALS, ICONFS, LOCALS, MOEFATS, NOTAS, NRCONS, NTRANS, NUMOLDS, PESOS, QTBAIXAS, QTBXPRODS, QTPRODS, TPESOS, UNITEMBS, UNIVALS, VCOMS, ALIQS, SITRIBS, TPIPIS, VALIPIS, ALIQICMS, VALDESCS, EMPOS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","20","742"
"sigprnfeBO.prg","SIGPRNFE","ARQUIVOS, NOTAS, STATTS","12","1290"
"SigPrSerBO.prg","SIGCDNEI","AQTDS, CGRUS, COEFS, CONTAFS, CUNIS, FLAGINCS, GRUPOFINS, GRUPOFS, MOEDAS, MOEDS, NENVS, OBSS, PESOS, TPOPS, LOCALS, NTRANS, NLOTES, PESOFIXS, COEFINFS, EMPDOPNUMS, CHKSUBN, CODCORS, CODNCONFS, CODTAMS, PESO2S, CUSTOFS, MOECUSFS, ESTORNO, PVENS","13","280"
"SrvBO.prg","SIGCDSRV","CODRECIRRF","100","362"
